"Time","Area","Mean_Radius","Intensity_KTR_Cyan","Intensity_KTR_Green","Math_RatioCyan","Math_RatioGreen","Object_Label","Time_in_min"
1,152,1.4468,0.0188,0.0291,0.6046,1.0394,564,0
1,119,1.4099,0.0143,0.0317,0.4684,1.111,568,0
1,139,1.3912,0.0237,0.0309,0.5765,1.0194,569,0
1,152,1.3454,0.0189,0.0343,0.4284,0.7832,570,0
1,141,1.2812,0.0223,0.0308,0.4741,0.6279,571,0
1,130,1.5317,0.0223,0.033,0.5595,0.8254,572,0
1,127,1.3215,0.0168,0.0272,0.408,0.9462,573,0
1,110,1.3229,0.0229,0.033,0.5643,0.751,577,0
1,216,1.5047,0.0291,0.0284,0.7798,0.8961,578,0
1,166,1.3887,0.0206,0.0294,0.4454,0.7247,582,0
1,150,1.4238,0.0146,0.0284,0.431,0.9513,593,0
1,207,1.3618,0.0233,0.0355,0.4751,0.744,598,0
1,191,1.4986,0.0184,0.0304,0.4107,1.1218,599,0
1,126,1.381,0.0124,0.0265,0.4089,0.7346,601,0
1,141,1.4883,0.0141,0.0294,0.4684,1.3091,607,0
1,180,1.3068,0.0285,0.0319,0.7679,0.7033,612,0
1,197,1.4096,0.0222,0.026,0.4723,0.5329,614,0
1,129,1.462,0.0306,0.0283,0.679,0.7064,616,0
1,148,1.3236,0.0185,0.0263,0.488,0.7779,622,0
1,289,1.4967,0.0365,0.0398,0.646,0.6811,623,0
1,117,1.3709,0.0158,0.0313,0.4256,0.7924,631,0
1,124,1.3453,0.0175,0.0261,0.3868,0.5767,635,0
1,214,1.4237,0.0259,0.0442,0.5203,0.7288,643,0
1,176,1.3549,0.0168,0.0299,0.4603,0.8046,647,0
1,154,1.4099,0.0217,0.0405,0.4705,0.7992,665,0
1,107,1.3155,0.0253,0.0294,0.6568,0.886,670,0
1,178,1.4112,0.0266,0.0317,0.7302,1.1014,690,0
1,112,1.3793,0.0182,0.0348,0.492,0.9066,697,0
1,144,1.2718,0.0148,0.0269,0.3738,0.4832,698,0
1,129,1.4512,0.0314,0.0316,0.8579,1.0681,701,0
1,183,1.3332,0.0218,0.0288,0.481,0.7774,705,0
1,104,1.3999,0.032,0.0341,0.6299,0.8581,706,0
1,200,1.4094,0.0183,0.0325,0.4547,0.9129,707,0
1,154,1.3265,0.0159,0.0313,0.4028,0.7047,713,0
1,117,1.2851,0.0311,0.0302,0.6893,0.9366,721,0
1,138,1.4796,0.0236,0.0307,0.5469,0.7512,722,0
1,150,1.2549,0.0179,0.0237,0.3732,0.4595,723,0
1,104,1.3292,0.0255,0.0247,0.6108,0.597,728,0
1,117,1.4305,0.0346,0.0295,0.8112,0.9921,734,0
1,106,1.2608,0.0193,0.0243,0.4382,0.5069,739,0
1,228,1.4278,0.024,0.0328,0.5802,0.89,749,0
1,115,1.3283,0.0229,0.0322,0.528,0.8027,751,0
1,111,1.4297,0.025,0.0302,0.5113,0.8667,762,0
1,146,1.3268,0.0358,0.028,0.7227,0.568,764,0
2,139,1.4441,0.029,0.0315,0.5724,0.579,4,4.5
2,115,1.4141,0.0135,0.0247,0.4865,0.7928,15,4.5
2,119,1.2318,0.0215,0.0337,0.5151,0.7542,19,4.5
2,125,1.4367,0.016,0.0304,0.4718,0.8319,26,4.5
2,126,1.3289,0.0125,0.0336,0.4826,0.8783,28,4.5
2,114,1.3381,0.0146,0.0286,0.3849,0.7682,38,4.5
2,122,1.408,0.0138,0.026,0.445,0.8598,43,4.5
2,238,1.4043,0.0193,0.0351,0.5244,0.7591,52,4.5
2,114,1.2914,0.017,0.0332,0.3952,0.6229,58,4.5
2,153,1.339,0.0229,0.0314,0.5845,0.7801,70,4.5
2,150,1.4979,0.0211,0.0305,0.5834,0.9401,71,4.5
2,177,1.4889,0.0217,0.0291,0.6167,0.7881,73,4.5
2,219,1.4307,0.0208,0.0309,0.5057,0.7727,77,4.5
2,142,1.3183,0.0273,0.0344,0.6108,0.7991,83,4.5
2,176,1.3268,0.0186,0.0257,0.4461,0.5776,87,4.5
2,133,1.4606,0.0166,0.0314,0.5155,1.0291,93,4.5
2,193,1.3998,0.0209,0.0314,0.5405,0.9604,97,4.5
2,173,1.5226,0.0163,0.0306,0.5829,1.0497,102,4.5
2,117,1.2992,0.0187,0.0277,0.3979,0.764,104,4.5
2,115,1.2649,0.0182,0.0276,0.4814,0.6551,106,4.5
2,126,1.3594,0.0214,0.0275,0.4847,0.5931,114,4.5
2,134,1.3588,0.0197,0.0313,0.5619,0.9982,115,4.5
2,120,1.3716,0.0133,0.0252,0.6381,0.9348,119,4.5
2,235,1.4795,0.0239,0.0295,0.7915,0.7419,124,4.5
2,106,1.3741,0.0163,0.0267,0.474,0.8284,125,4.5
2,159,1.5024,0.0185,0.0326,0.6127,1.0302,126,4.5
2,141,1.3143,0.0176,0.0352,0.5079,0.7719,130,4.5
2,141,1.3389,0.0227,0.0288,0.6165,0.9337,133,4.5
2,154,1.3341,0.0143,0.0282,0.4586,0.9311,137,4.5
2,114,1.3473,0.0178,0.0354,0.4588,1.0068,135,4.5
2,165,1.3715,0.019,0.0324,0.4077,0.579,138,4.5
2,122,1.3608,0.0128,0.0316,0.4247,0.8898,140,4.5
2,147,1.4006,0.02,0.0309,0.5326,1.0022,146,4.5
2,172,1.4161,0.0161,0.029,0.4537,0.7593,147,4.5
2,124,1.344,0.0094,0.032,0.404,0.8735,156,4.5
2,118,1.4418,0.0128,0.025,0.5016,0.9312,155,4.5
2,145,1.3613,0.0281,0.037,0.6794,0.8671,152,4.5
2,130,1.3434,0.0201,0.0279,0.5271,0.8717,158,4.5
2,110,1.3336,0.0192,0.0341,0.4597,0.676,161,4.5
2,161,1.3533,0.0158,0.0303,0.4357,0.8353,167,4.5
2,201,1.4021,0.0225,0.0302,0.5242,0.8451,168,4.5
2,135,1.3522,0.023,0.0343,0.4635,0.7621,169,4.5
2,165,1.3225,0.0206,0.0385,0.4177,0.7627,170,4.5
